persona,weapon,rarity,cycleSeconds,cycleDamageBeforeMitigation,uninterruptedSingleTargetDPS,skillCooldownSeconds,skillKind,range
BeachBurnout,BareHands,Legendary,0.6,60.84,101.4,4.0,wave,8
BeachBurnout,BareHands,Unique,0.6,52.728,87.88,4.3,wave,8
BeachBurnout,BareHands,Rare,0.6,46.644,77.74,4.6,wave,8
BeachBurnout,BareHands,Common,0.6,40.56,67.6,5,wave,8
BeachBurnout,FlipFlopSlap,Legendary,0.5217,67.431,129.243,4.0,wave,9
BeachBurnout,FlipFlopSlap,Unique,0.5217,58.44,112.01,4.3,wave,9
BeachBurnout,FlipFlopSlap,Rare,0.5217,51.697,99.086,4.6,wave,9
BeachBurnout,FlipFlopSlap,Common,0.5217,44.954,86.162,5,wave,9
BeachBurnout,LawnDart,Legendary,0.7059,91.564,129.716,4.0,wave,22
BeachBurnout,LawnDart,Unique,0.7059,79.356,112.42,4.3,wave,22
BeachBurnout,LawnDart,Rare,0.7059,70.199,99.449,4.6,wave,22
BeachBurnout,LawnDart,Common,0.7059,61.043,86.477,5,wave,22
BeachBurnout,GolfClub,Legendary,0.6667,80.613,120.919,4.0,wave,12
BeachBurnout,GolfClub,Unique,0.6667,69.865,104.797,4.3,wave,12
BeachBurnout,GolfClub,Rare,0.6667,61.803,92.705,4.6,wave,12
BeachBurnout,GolfClub,Common,0.6667,53.742,80.613,5,wave,12
BeachBurnout,GatorWrestleGloves,Legendary,0.75,93.795,125.06,4.0,wave,10
BeachBurnout,GatorWrestleGloves,Unique,0.75,81.289,108.385,4.3,wave,10
BeachBurnout,GatorWrestleGloves,Rare,0.75,71.909,95.879,4.6,wave,10
BeachBurnout,GatorWrestleGloves,Common,0.75,62.53,83.373,5,wave,10
BeachBurnout,RomanCandle,Legendary,0.6,74.022,123.37,4.0,wave,26
BeachBurnout,RomanCandle,Unique,0.6,64.152,106.921,4.3,wave,26
BeachBurnout,RomanCandle,Rare,0.6,56.75,94.584,4.6,wave,26
BeachBurnout,RomanCandle,Common,0.6,49.348,82.247,5,wave,26
BeachBurnout,SnakeLasso,Legendary,0.6316,81.183,128.54,4.0,wave,20
BeachBurnout,SnakeLasso,Unique,0.6316,70.359,111.402,4.3,wave,20
BeachBurnout,SnakeLasso,Rare,0.6316,62.241,98.548,4.6,wave,20
BeachBurnout,SnakeLasso,Common,0.6316,54.122,85.694,5,wave,20
BeachBurnout,SpillSkimmer,Legendary,0.5714,70.726,123.771,4.0,wave,11
BeachBurnout,SpillSkimmer,Unique,0.5714,61.296,107.269,4.3,wave,11
BeachBurnout,SpillSkimmer,Rare,0.5714,54.224,94.891,4.6,wave,11
BeachBurnout,SpillSkimmer,Common,0.5714,47.151,82.514,5,wave,11
BeachBurnout,PoolNoodle,Legendary,0.4615,57.544,124.68,4.0,wave,14
BeachBurnout,PoolNoodle,Unique,0.4615,49.872,108.056,4.3,wave,14
BeachBurnout,PoolNoodle,Rare,0.4615,44.117,95.588,4.6,wave,14
BeachBurnout,PoolNoodle,Common,0.4615,38.363,83.12,5,wave,14
BeachBurnout,CoolerLid,Legendary,0.5455,64.136,117.582,4.0,wave,8
BeachBurnout,CoolerLid,Unique,0.5455,55.584,101.904,4.3,wave,8
BeachBurnout,CoolerLid,Rare,0.5455,49.171,90.146,4.6,wave,8
BeachBurnout,CoolerLid,Common,0.5455,42.757,78.388,5,wave,8
BeachBurnout,BeachUmbrella,Legendary,0.6818,74.022,108.566,4.0,wave,13
BeachBurnout,BeachUmbrella,Unique,0.6818,64.152,94.09,4.3,wave,13
BeachBurnout,BeachUmbrella,Rare,0.6818,56.75,83.234,4.6,wave,13
BeachBurnout,BeachUmbrella,Common,0.6818,49.348,72.377,5,wave,13
BeachBurnout,FireExtinguisher,Legendary,0.6,67.431,112.385,4.0,wave,18
BeachBurnout,FireExtinguisher,Unique,0.6,58.44,97.4,4.3,wave,18
BeachBurnout,FireExtinguisher,Rare,0.6,51.697,86.162,4.6,wave,18
BeachBurnout,FireExtinguisher,Common,0.6,44.954,74.923,5,wave,18
BeachBurnout,TrafficCone,Legendary,0.5714,74.263,129.96,4.0,wave,16
BeachBurnout,TrafficCone,Unique,0.5714,64.361,112.632,4.3,wave,16
BeachBurnout,TrafficCone,Rare,0.5714,56.935,99.636,4.6,wave,16
BeachBurnout,TrafficCone,Common,0.5714,49.509,86.64,5,wave,16
BeachBurnout,KayakPaddle,Legendary,0.6,77.317,128.863,4.0,wave,12
BeachBurnout,KayakPaddle,Unique,0.6,67.008,111.681,4.3,wave,12
BeachBurnout,KayakPaddle,Rare,0.6,59.277,98.795,4.6,wave,12
BeachBurnout,KayakPaddle,Common,0.6,51.545,85.908,5,wave,12
BeachBurnout,BugZapper,Legendary,0.6316,83.909,132.855,4.0,wave,9
BeachBurnout,BugZapper,Unique,0.6316,72.721,115.141,4.3,wave,9
BeachBurnout,BugZapper,Rare,0.6316,64.33,101.856,4.6,wave,9
BeachBurnout,BugZapper,Common,0.6316,55.939,88.57,5,wave,9
BeachBurnout,WaterBalloonSling,Legendary,0.5455,64.136,117.582,4.0,wave,24
BeachBurnout,WaterBalloonSling,Unique,0.5455,55.584,101.904,4.3,wave,24
BeachBurnout,WaterBalloonSling,Rare,0.5455,49.171,90.146,4.6,wave,24
BeachBurnout,WaterBalloonSling,Common,0.5455,42.757,78.388,5,wave,24
BeachBurnout,ShoppingCart,Legendary,0.8,90.5,113.124,4.0,wave,11
BeachBurnout,ShoppingCart,Unique,0.8,78.433,98.041,4.3,wave,11
BeachBurnout,ShoppingCart,Rare,0.8,69.383,86.729,4.6,wave,11
BeachBurnout,ShoppingCart,Common,0.8,60.333,75.416,5,wave,11
BeachBurnout,PelicanBeakReplica,Legendary,0.6,80.613,134.355,4.0,wave,10
BeachBurnout,PelicanBeakReplica,Unique,0.6,69.865,116.441,4.3,wave,10
BeachBurnout,PelicanBeakReplica,Rare,0.6,61.803,103.005,4.6,wave,10
BeachBurnout,PelicanBeakReplica,Common,0.6,53.742,89.57,5,wave,10
BeachBurnout,OilBarrelLid,Legendary,0.75,91.564,122.086,4.0,wave,19
BeachBurnout,OilBarrelLid,Unique,0.75,79.356,105.808,4.3,wave,19
BeachBurnout,OilBarrelLid,Rare,0.75,70.199,93.599,4.6,wave,19
BeachBurnout,OilBarrelLid,Common,0.75,61.043,81.39,5,wave,19
BeachBurnout,TikiTorch,Legendary,0.6522,74.022,113.5,4.0,wave,11
BeachBurnout,TikiTorch,Unique,0.6522,64.152,98.367,4.3,wave,11
BeachBurnout,TikiTorch,Rare,0.6522,56.75,87.017,4.6,wave,11
BeachBurnout,TikiTorch,Common,0.6522,49.348,75.667,5,wave,11
BeachBurnout,Skateboard,Legendary,0.5,70.726,141.453,4.0,wave,10
BeachBurnout,Skateboard,Unique,0.5,61.296,122.593,4.3,wave,10
BeachBurnout,Skateboard,Rare,0.5,54.224,108.447,4.6,wave,10
BeachBurnout,Skateboard,Common,0.5,47.151,94.302,5,wave,10
BeachBurnout,FishSmack,Legendary,0.6,77.317,128.863,4.0,wave,9
BeachBurnout,FishSmack,Unique,0.6,67.008,111.681,4.3,wave,9
BeachBurnout,FishSmack,Rare,0.6,59.277,98.795,4.6,wave,9
BeachBurnout,FishSmack,Common,0.6,51.545,85.908,5,wave,9
BeachBurnout,NewspaperRoll,Legendary,0.48,60.84,126.75,4.0,wave,8
BeachBurnout,NewspaperRoll,Unique,0.48,52.728,109.85,4.3,wave,8
BeachBurnout,NewspaperRoll,Rare,0.48,46.644,97.175,4.6,wave,8
BeachBurnout,NewspaperRoll,Common,0.48,40.56,84.5,5,wave,8
BeachBurnout,NetGun,Legendary,0.6667,54.249,81.373,4.0,wave,20
BeachBurnout,NetGun,Unique,0.6667,47.016,70.524,4.3,wave,20
BeachBurnout,NetGun,Rare,0.6667,41.591,62.386,4.6,wave,20
BeachBurnout,NetGun,Common,0.6667,36.166,54.249,5,wave,20
BeachBurnout,SludgeHose,Legendary,0.7059,80.613,114.202,4.0,wave,22
BeachBurnout,SludgeHose,Unique,0.7059,69.865,98.975,4.3,wave,22
BeachBurnout,SludgeHose,Rare,0.7059,61.803,87.555,4.6,wave,22
BeachBurnout,SludgeHose,Common,0.7059,53.742,76.135,5,wave,22
BeachBurnout,FinaleRocket,Legendary,0.9231,126.167,136.681,4.0,wave,30
BeachBurnout,FinaleRocket,Unique,0.9231,109.345,118.457,4.3,wave,30
BeachBurnout,FinaleRocket,Rare,0.9231,96.728,104.789,4.6,wave,30
BeachBurnout,FinaleRocket,Common,0.9231,84.111,91.121,5,wave,30
BeachBurnout,HOAClipboard,Legendary,0.5217,67.431,129.243,4.0,wave,8
BeachBurnout,HOAClipboard,Unique,0.5217,58.44,112.01,4.3,wave,8
BeachBurnout,HOAClipboard,Rare,0.5217,51.697,99.086,4.6,wave,8
BeachBurnout,HOAClipboard,Common,0.5217,44.954,86.162,5,wave,8
BeachBurnout,BoogieBoard,Legendary,0.5714,74.022,129.538,4.0,wave,11
BeachBurnout,BoogieBoard,Unique,0.5714,64.152,112.267,4.3,wave,11
BeachBurnout,BoogieBoard,Rare,0.5714,56.75,99.313,4.6,wave,11
BeachBurnout,BoogieBoard,Common,0.5714,49.348,86.359,5,wave,11
CrabKing,BareHands,Legendary,0.8421,80.85,96.009,4.8,dash,8
CrabKing,BareHands,Unique,0.8421,70.07,83.208,5.16,dash,8
CrabKing,BareHands,Rare,0.8421,61.985,73.607,5.52,dash,8
CrabKing,BareHands,Common,0.8421,53.9,64.006,6,dash,8
CrabKing,FlipFlopSlap,Legendary,0.7323,88.358,120.663,4.8,dash,9
CrabKing,FlipFlopSlap,Unique,0.7323,76.577,104.575,5.16,dash,9
CrabKing,FlipFlopSlap,Rare,0.7323,67.741,92.508,5.52,dash,9
CrabKing,FlipFlopSlap,Common,0.7323,58.905,80.442,6,dash,9
CrabKing,LawnDart,Legendary,0.9907,116.424,117.515,4.8,dash,22
CrabKing,LawnDart,Unique,0.9907,100.901,101.847,5.16,dash,22
CrabKing,LawnDart,Rare,0.9907,89.258,90.095,5.52,dash,22
CrabKing,LawnDart,Common,0.9907,77.616,78.344,6,dash,22
CrabKing,GolfClub,Legendary,0.9357,103.373,110.479,4.8,dash,12
CrabKing,GolfClub,Unique,0.9357,89.59,95.749,5.16,dash,12
CrabKing,GolfClub,Rare,0.9357,79.252,84.701,5.52,dash,12
CrabKing,GolfClub,Common,0.9357,68.915,73.653,6,dash,12
CrabKing,GatorWrestleGloves,Legendary,1.0526,118.387,112.468,4.8,dash,10
CrabKing,GatorWrestleGloves,Unique,1.0526,102.603,97.472,5.16,dash,10
CrabKing,GatorWrestleGloves,Rare,1.0526,90.764,86.226,5.52,dash,10
CrabKing,GatorWrestleGloves,Common,1.0526,78.925,74.979,6,dash,10
CrabKing,RomanCandle,Legendary,0.8421,95.865,113.84,4.8,dash,26
CrabKing,RomanCandle,Unique,0.8421,83.083,98.661,5.16,dash,26
CrabKing,RomanCandle,Rare,0.8421,73.496,87.277,5.52,dash,26
CrabKing,RomanCandle,Common,0.8421,63.91,75.893,6,dash,26
CrabKing,SnakeLasso,Legendary,0.8864,104.6,118.002,4.8,dash,20
CrabKing,SnakeLasso,Unique,0.8864,90.653,102.268,5.16,dash,20
CrabKing,SnakeLasso,Rare,0.8864,80.193,90.468,5.52,dash,20
CrabKing,SnakeLasso,Common,0.8864,69.733,78.668,6,dash,20
CrabKing,SpillSkimmer,Legendary,0.802,92.111,114.851,4.8,dash,11
CrabKing,SpillSkimmer,Unique,0.802,79.83,99.538,5.16,dash,11
CrabKing,SpillSkimmer,Rare,0.802,70.619,88.053,5.52,dash,11
CrabKing,SpillSkimmer,Common,0.802,61.407,76.567,6,dash,11
CrabKing,PoolNoodle,Legendary,0.6478,77.096,119.017,4.8,dash,14
CrabKing,PoolNoodle,Unique,0.6478,66.817,103.148,5.16,dash,14
CrabKing,PoolNoodle,Rare,0.6478,59.107,91.247,5.52,dash,14
CrabKing,PoolNoodle,Common,0.6478,51.397,79.345,6,dash,14
CrabKing,CoolerLid,Legendary,0.7656,84.604,110.514,4.8,dash,8
CrabKing,CoolerLid,Unique,0.7656,73.323,95.778,5.16,dash,8
CrabKing,CoolerLid,Rare,0.7656,64.863,84.727,5.52,dash,8
CrabKing,CoolerLid,Common,0.7656,56.403,73.676,6,dash,8
CrabKing,BeachUmbrella,Legendary,0.9569,95.865,100.179,4.8,dash,13
CrabKing,BeachUmbrella,Unique,0.9569,83.083,86.822,5.16,dash,13
CrabKing,BeachUmbrella,Rare,0.9569,73.496,76.804,5.52,dash,13
CrabKing,BeachUmbrella,Common,0.9569,63.91,66.786,6,dash,13
CrabKing,FireExtinguisher,Legendary,0.8421,88.358,104.925,4.8,dash,18
CrabKing,FireExtinguisher,Unique,0.8421,76.577,90.935,5.16,dash,18
CrabKing,FireExtinguisher,Rare,0.8421,67.741,80.442,5.52,dash,18
CrabKing,FireExtinguisher,Common,0.8421,58.905,69.95,6,dash,18
CrabKing,TrafficCone,Legendary,0.802,96.717,120.594,4.8,dash,16
CrabKing,TrafficCone,Unique,0.802,83.821,104.515,5.16,dash,16
CrabKing,TrafficCone,Rare,0.802,74.15,92.455,5.52,dash,16
CrabKing,TrafficCone,Common,0.802,64.478,80.396,6,dash,16
CrabKing,KayakPaddle,Legendary,0.8421,99.619,118.297,4.8,dash,12
CrabKing,KayakPaddle,Unique,0.8421,86.336,102.524,5.16,dash,12
CrabKing,KayakPaddle,Rare,0.8421,76.374,90.695,5.52,dash,12
CrabKing,KayakPaddle,Common,0.8421,66.412,78.865,6,dash,12
CrabKing,BugZapper,Legendary,0.8864,107.126,120.852,4.8,dash,9
CrabKing,BugZapper,Unique,0.8864,92.843,104.738,5.16,dash,9
CrabKing,BugZapper,Rare,0.8864,82.13,92.653,5.52,dash,9
CrabKing,BugZapper,Common,0.8864,71.418,80.568,6,dash,9
CrabKing,WaterBalloonSling,Legendary,0.7656,84.604,110.514,4.8,dash,24
CrabKing,WaterBalloonSling,Unique,0.7656,73.323,95.778,5.16,dash,24
CrabKing,WaterBalloonSling,Rare,0.7656,64.863,84.727,5.52,dash,24
CrabKing,WaterBalloonSling,Common,0.7656,56.403,73.676,6,dash,24
CrabKing,ShoppingCart,Legendary,1.1228,114.634,102.096,4.8,dash,11
CrabKing,ShoppingCart,Unique,1.1228,99.349,88.483,5.16,dash,11
CrabKing,ShoppingCart,Rare,1.1228,87.886,78.273,5.52,dash,11
CrabKing,ShoppingCart,Common,1.1228,76.422,68.064,6,dash,11
CrabKing,PelicanBeakReplica,Legendary,0.8421,103.373,122.755,4.8,dash,10
CrabKing,PelicanBeakReplica,Unique,0.8421,89.59,106.388,5.16,dash,10
CrabKing,PelicanBeakReplica,Rare,0.8421,79.252,94.112,5.52,dash,10
CrabKing,PelicanBeakReplica,Common,0.8421,68.915,81.837,6,dash,10
CrabKing,OilBarrelLid,Legendary,1.0526,116.424,110.603,4.8,dash,19
CrabKing,OilBarrelLid,Unique,1.0526,100.901,95.856,5.16,dash,19
CrabKing,OilBarrelLid,Rare,1.0526,89.258,84.795,5.52,dash,19
CrabKing,OilBarrelLid,Common,1.0526,77.616,73.735,6,dash,19
CrabKing,TikiTorch,Legendary,0.9153,95.865,104.733,4.8,dash,11
CrabKing,TikiTorch,Unique,0.9153,83.083,90.768,5.16,dash,11
CrabKing,TikiTorch,Rare,0.9153,73.496,80.295,5.52,dash,11
CrabKing,TikiTorch,Common,0.9153,63.91,69.822,6,dash,11
CrabKing,Skateboard,Legendary,0.7018,92.111,131.259,4.8,dash,10
CrabKing,Skateboard,Unique,0.7018,79.83,113.757,5.16,dash,10
CrabKing,Skateboard,Rare,0.7018,70.619,100.632,5.52,dash,10
CrabKing,Skateboard,Common,0.7018,61.407,87.506,6,dash,10
CrabKing,FishSmack,Legendary,0.8421,99.619,118.297,4.8,dash,9
CrabKing,FishSmack,Unique,0.8421,86.336,102.524,5.16,dash,9
CrabKing,FishSmack,Rare,0.8421,76.374,90.695,5.52,dash,9
CrabKing,FishSmack,Common,0.8421,66.412,78.865,6,dash,9
CrabKing,NewspaperRoll,Legendary,0.6737,80.85,120.012,4.8,dash,8
CrabKing,NewspaperRoll,Unique,0.6737,70.07,104.01,5.16,dash,8
CrabKing,NewspaperRoll,Rare,0.6737,61.985,92.009,5.52,dash,8
CrabKing,NewspaperRoll,Common,0.6737,53.9,80.008,6,dash,8
CrabKing,NetGun,Legendary,0.9357,73.343,78.385,4.8,dash,20
CrabKing,NetGun,Unique,0.9357,63.563,67.933,5.16,dash,20
CrabKing,NetGun,Rare,0.9357,56.229,60.095,5.52,dash,20
CrabKing,NetGun,Common,0.9357,48.895,52.257,6,dash,20
CrabKing,SludgeHose,Legendary,0.9907,103.373,104.342,4.8,dash,22
CrabKing,SludgeHose,Unique,0.9907,89.59,90.429,5.16,dash,22
CrabKing,SludgeHose,Rare,0.9907,79.252,79.995,5.52,dash,22
CrabKing,SludgeHose,Common,0.9907,68.915,69.561,6,dash,22
CrabKing,FinaleRocket,Legendary,1.2955,155.838,120.288,4.8,dash,30
CrabKing,FinaleRocket,Unique,1.2955,135.06,104.249,5.16,dash,30
CrabKing,FinaleRocket,Rare,1.2955,119.476,92.221,5.52,dash,30
CrabKing,FinaleRocket,Common,1.2955,103.892,80.192,6,dash,30
CrabKing,HOAClipboard,Legendary,0.7323,88.358,120.663,4.8,dash,8
CrabKing,HOAClipboard,Unique,0.7323,76.577,104.575,5.16,dash,8
CrabKing,HOAClipboard,Rare,0.7323,67.741,92.508,5.52,dash,8
CrabKing,HOAClipboard,Common,0.7323,58.905,80.442,6,dash,8
CrabKing,BoogieBoard,Legendary,0.802,95.865,119.532,4.8,dash,11
